,id,fecha,hora,id_sensor,version,letra,pm_25,pm_1,pm_10,delta_t,lon,lat,cal,comentario,GMT,time_cl
72053,7,16-08-2022,1660684861,F01,quinteri,z,10,6,11,5341,-71.52818666666667,-32.78387166666666,calibracion,,2022-08-16 21:21:00,2022-08-16 17:21:00
72054,8,16-08-2022,1660684866,F01,quinteri,z,10,6,11,5348,-71.52818666666667,-32.78387166666666,calibracion,,2022-08-16 21:21:10,2022-08-16 17:21:10
72055,9,16-08-2022,1660684871,F01,quinteri,z,9,5,9,5347,-71.52818666666667,-32.78387166666666,calibracion,,2022-08-16 21:21:10,2022-08-16 17:21:10
72056,10,16-08-2022,1660684877,F01,quinteri,z,8,4,8,5348,-71.52818666666667,-32.78387166666666,calibracion,,2022-08-16 21:21:20,2022-08-16 17:21:20
72057,11,16-08-2022,1660684882,F01,quinteri,z,8,4,9,5347,-71.52818666666667,-32.78387166666666,calibracion,,2022-08-16 21:21:20,2022-08-16 17:21:20
72058,12,16-08-2022,1660684887,F01,quinteri,z,7,3,8,5348,-71.52818666666667,-32.78387166666666,calibracion,,2022-08-16 21:21:30,2022-08-16 17:21:30
72059,13,16-08-2022,1660684893,F01,quinteri,z,8,4,9,5347,-71.52818666666667,-32.78387166666666,calibracion,,2022-08-16 21:21:30,2022-08-16 17:21:30
72060,14,16-08-2022,1660684898,F01,quinteri,z,8,4,10,5347,-71.52818666666667,-32.78387166666666,calibracion,,2022-08-16 21:21:40,2022-08-16 17:21:40
72061,15,16-08-2022,1660684903,F01,quinteri,z,9,4,11,5348,-71.52818666666667,-32.78387166666666,calibracion,,2022-08-16 21:21:40,2022-08-16 17:21:40
72062,16,16-08-2022,1660684909,F01,quinteri,z,8,4,10,5348,-71.52818666666667,-32.78387166666666,calibracion,,2022-08-16 21:21:50,2022-08-16 17:21:50
72063,17,16-08-2022,1660684914,F01,quinteri,z,9,4,10,5346,-71.52818666666667,-32.78387166666666,calibracion,,2022-08-16 21:21:50,2022-08-16 17:21:50
72064,18,16-08-2022,1660684919,F01,quinteri,z,7,3,9,5347,-71.52845166666665,-32.78385333333333,calibracion,,2022-08-16 21:22:00,2022-08-16 17:22:00
72065,19,16-08-2022,1660684925,F01,quinteri,z,9,5,11,5347,-71.52845166666665,-32.78385333333333,calibracion,,2022-08-16 21:22:00,2022-08-16 17:22:00
72066,20,16-08-2022,1660684930,F01,quinteri,z,7,4,9,5346,-71.52845166666665,-32.78385333333333,calibracion,,2022-08-16 21:22:10,2022-08-16 17:22:10
72067,21,16-08-2022,1660684935,F01,quinteri,z,5,3,7,5347,-71.52845166666665,-32.78385333333333,calibracion,,2022-08-16 21:22:20,2022-08-16 17:22:20
72068,22,16-08-2022,1660684941,F01,quinteri,z,7,3,11,5347,-71.52845166666665,-32.78385333333333,calibracion,,2022-08-16 21:22:20,2022-08-16 17:22:20
72069,23,16-08-2022,1660684946,F01,quinteri,z,10,3,13,5347,-71.52845166666665,-32.78385333333333,calibracion,,2022-08-16 21:22:30,2022-08-16 17:22:30
72070,24,16-08-2022,1660684951,F01,quinteri,z,12,5,15,5347,-71.52845166666665,-32.78385333333333,calibracion,,2022-08-16 21:22:30,2022-08-16 17:22:30
72071,25,16-08-2022,1660684957,F01,quinteri,z,11,4,14,5348,-71.52845166666665,-32.78385333333333,calibracion,,2022-08-16 21:22:40,2022-08-16 17:22:40
72072,26,16-08-2022,1660684962,F01,quinteri,z,10,4,12,5347,-71.52845166666665,-32.78385333333333,calibracion,,2022-08-16 21:22:40,2022-08-16 17:22:40
72073,27,16-08-2022,1660684968,F01,quinteri,z,11,5,12,5347,-71.52845166666665,-32.78385333333333,calibracion,,2022-08-16 21:22:50,2022-08-16 17:22:50
72074,28,16-08-2022,1660684973,F01,quinteri,z,8,3,9,5347,-71.52845166666665,-32.78385333333333,calibracion,,2022-08-16 21:22:50,2022-08-16 17:22:50
72075,29,16-08-2022,1660684978,F01,quinteri,z,8,3,8,5346,-71.52845166666665,-32.78385333333333,calibracion,,2022-08-16 21:23:00,2022-08-16 17:23:00
72076,30,16-08-2022,1660684984,F01,quinteri,z,8,3,8,5348,-71.52845166666665,-32.78385333333333,calibracion,,2022-08-16 21:23:00,2022-08-16 17:23:00
72077,31,16-08-2022,1660684989,F01,quinteri,z,12,3,12,5347,-71.52845166666665,-32.78385333333333,calibracion,,2022-08-16 21:23:10,2022-08-16 17:23:10
72078,32,16-08-2022,1660684994,F01,quinteri,z,14,5,14,5348,-71.52845166666665,-32.78385333333333,calibracion,,2022-08-16 21:23:10,2022-08-16 17:23:10
72079,33,16-08-2022,1660685000,F01,quinteri,z,12,4,13,5348,-71.52845166666665,-32.78385333333333,calibracion,,2022-08-16 21:23:20,2022-08-16 17:23:20
72080,34,16-08-2022,1660685005,F01,quinteri,z,10,5,11,5348,-71.52845166666665,-32.78385333333333,calibracion,,2022-08-16 21:23:20,2022-08-16 17:23:20
72081,35,16-08-2022,1660685010,F01,quinteri,z,12,5,13,5348,-71.52854,-32.784036666666665,calibracion,,2022-08-16 21:23:30,2022-08-16 17:23:30
72082,36,16-08-2022,1660685016,F01,quinteri,z,12,5,14,5348,-71.52854,-32.784036666666665,calibracion,,2022-08-16 21:23:40,2022-08-16 17:23:40
72083,37,16-08-2022,1660685021,F01,quinteri,z,13,5,15,5347,-71.52854,-32.784036666666665,calibracion,,2022-08-16 21:23:40,2022-08-16 17:23:40
72084,38,16-08-2022,1660685026,F01,quinteri,z,13,6,14,5347,-71.52854,-32.784036666666665,calibracion,,2022-08-16 21:23:50,2022-08-16 17:23:50
72085,39,16-08-2022,1660685032,F01,quinteri,z,11,5,13,5347,-71.52854,-32.784036666666665,calibracion,,2022-08-16 21:23:50,2022-08-16 17:23:50
72086,40,16-08-2022,1660685037,F01,quinteri,z,12,6,13,5347,-71.52854,-32.784036666666665,calibracion,,2022-08-16 21:24:00,2022-08-16 17:24:00
72087,41,16-08-2022,1660685042,F01,quinteri,z,12,6,14,5348,-71.52854,-32.784036666666665,calibracion,,2022-08-16 21:24:00,2022-08-16 17:24:00
72088,42,16-08-2022,1660685048,F01,quinteri,z,12,6,14,5347,-71.52854,-32.784036666666665,calibracion,,2022-08-16 21:24:10,2022-08-16 17:24:10
72089,43,16-08-2022,1660685053,F01,quinteri,z,13,7,14,5347,-71.52848999999998,-32.783770000000004,calibracion,,2022-08-16 21:24:10,2022-08-16 17:24:10
72090,44,16-08-2022,1660685058,F01,quinteri,z,15,7,18,5346,-71.52848999999998,-32.783770000000004,calibracion,,2022-08-16 21:24:20,2022-08-16 17:24:20
72091,45,16-08-2022,1660685064,F01,quinteri,z,19,9,22,5347,-71.52848999999998,-32.783770000000004,calibracion,,2022-08-16 21:24:20,2022-08-16 17:24:20
72092,46,16-08-2022,1660685069,F01,quinteri,z,18,8,21,5347,-71.52848999999998,-32.783770000000004,calibracion,,2022-08-16 21:24:30,2022-08-16 17:24:30
72093,47,16-08-2022,1660685074,F01,quinteri,z,18,9,20,5348,-71.52848999999998,-32.783770000000004,calibracion,,2022-08-16 21:24:30,2022-08-16 17:24:30
72094,48,16-08-2022,1660685080,F01,quinteri,z,17,9,19,5345,-71.52848999999998,-32.783770000000004,calibracion,,2022-08-16 21:24:40,2022-08-16 17:24:40
72095,49,16-08-2022,1660685085,F01,quinteri,z,18,9,19,5347,-71.52848999999998,-32.783770000000004,calibracion,,2022-08-16 21:24:40,2022-08-16 17:24:40
72096,50,16-08-2022,1660685090,F01,quinteri,z,18,8,19,5348,-71.52848999999998,-32.783770000000004,calibracion,,2022-08-16 21:24:50,2022-08-16 17:24:50
72097,51,16-08-2022,1660685096,F01,quinteri,z,18,7,22,5347,-71.52848999999998,-32.783770000000004,calibracion,,2022-08-16 21:25:00,2022-08-16 17:25:00
72098,52,16-08-2022,1660685101,F01,quinteri,z,18,8,22,5347,-71.52848999999998,-32.783770000000004,calibracion,,2022-08-16 21:25:00,2022-08-16 17:25:00
72099,53,16-08-2022,1660685107,F01,quinteri,z,15,6,18,5347,-71.52848999999998,-32.783770000000004,calibracion,,2022-08-16 21:25:10,2022-08-16 17:25:10
72100,54,16-08-2022,1660685112,F01,quinteri,z,17,7,20,5347,-71.52848999999998,-32.783770000000004,calibracion,,2022-08-16 21:25:10,2022-08-16 17:25:10
72101,55,16-08-2022,1660685117,F01,quinteri,z,15,7,19,5346,-71.52848999999998,-32.783770000000004,calibracion,,2022-08-16 21:25:20,2022-08-16 17:25:20
72102,56,16-08-2022,1660685123,F01,quinteri,z,16,8,21,5348,-71.52848999999998,-32.783770000000004,calibracion,,2022-08-16 21:25:20,2022-08-16 17:25:20
72103,57,16-08-2022,1660685128,F01,quinteri,z,19,9,23,5347,-71.52848999999998,-32.783770000000004,calibracion,,2022-08-16 21:25:30,2022-08-16 17:25:30
72104,58,16-08-2022,1660685133,F01,quinteri,z,17,8,20,5348,-71.52848999999998,-32.783770000000004,calibracion,,2022-08-16 21:25:30,2022-08-16 17:25:30
72105,59,16-08-2022,1660685139,F01,quinteri,z,14,6,16,5347,-71.52848999999998,-32.783770000000004,calibracion,,2022-08-16 21:25:40,2022-08-16 17:25:40
72106,60,16-08-2022,1660685144,F01,quinteri,z,15,6,16,5348,-71.52848999999998,-32.783770000000004,calibracion,,2022-08-16 21:25:40,2022-08-16 17:25:40
72107,61,16-08-2022,1660685149,F01,quinteri,z,15,6,16,5347,-71.52848999999998,-32.783770000000004,calibracion,,2022-08-16 21:25:50,2022-08-16 17:25:50
72108,62,16-08-2022,1660685155,F01,quinteri,z,14,6,16,5347,-71.52848999999998,-32.783770000000004,calibracion,,2022-08-16 21:26:00,2022-08-16 17:26:00
72109,63,16-08-2022,1660685160,F01,quinteri,z,13,7,15,5347,-71.52848999999998,-32.783770000000004,calibracion,,2022-08-16 21:26:00,2022-08-16 17:26:00
72110,64,16-08-2022,1660685165,F01,quinteri,z,13,7,15,5347,-71.52836166666665,-32.78367166666667,calibracion,,2022-08-16 21:26:00,2022-08-16 17:26:00
72111,65,16-08-2022,1660685171,F01,quinteri,z,12,7,14,5347,-71.52836166666665,-32.78367166666667,calibracion,,2022-08-16 21:26:10,2022-08-16 17:26:10
72112,66,16-08-2022,1660685176,F01,quinteri,z,11,7,11,5347,-71.52836166666665,-32.78367166666667,calibracion,,2022-08-16 21:26:20,2022-08-16 17:26:20
72113,67,16-08-2022,1660685181,F01,quinteri,z,10,6,11,5346,-71.52836166666665,-32.78367166666667,calibracion,,2022-08-16 21:26:20,2022-08-16 17:26:20
72114,68,16-08-2022,1660685187,F01,quinteri,z,11,6,12,5348,-71.52836166666665,-32.78367166666667,calibracion,,2022-08-16 21:26:30,2022-08-16 17:26:30
72115,69,16-08-2022,1660685192,F01,quinteri,z,10,4,11,5346,-71.52836166666665,-32.78367166666667,calibracion,,2022-08-16 21:26:30,2022-08-16 17:26:30
72116,70,16-08-2022,1660685197,F01,quinteri,z,11,4,11,5348,-71.52836166666665,-32.78367166666667,calibracion,,2022-08-16 21:26:40,2022-08-16 17:26:40
72117,71,16-08-2022,1660685203,F01,quinteri,z,11,5,12,5347,-71.52836166666665,-32.78367166666667,calibracion,,2022-08-16 21:26:40,2022-08-16 17:26:40
72118,72,16-08-2022,1660685208,F01,quinteri,z,12,5,13,5345,-71.52836166666665,-32.78367166666667,calibracion,,2022-08-16 21:26:50,2022-08-16 17:26:50
72119,73,16-08-2022,1660685213,F01,quinteri,z,11,5,12,5347,-71.52836166666665,-32.78367166666667,calibracion,,2022-08-16 21:26:50,2022-08-16 17:26:50
72120,74,16-08-2022,1660685219,F01,quinteri,z,14,6,15,5347,-71.52836166666665,-32.78367166666667,calibracion,,2022-08-16 21:27:00,2022-08-16 17:27:00
72121,75,16-08-2022,1660685224,F01,quinteri,z,13,5,16,5348,-71.52836166666665,-32.78367166666667,calibracion,,2022-08-16 21:27:00,2022-08-16 17:27:00
72122,76,16-08-2022,1660685230,F01,quinteri,z,11,4,13,5347,-71.52836166666665,-32.78367166666667,calibracion,,2022-08-16 21:27:10,2022-08-16 17:27:10
72123,77,16-08-2022,1660685235,F01,quinteri,z,11,4,14,5348,-71.52836166666665,-32.78367166666667,calibracion,,2022-08-16 21:27:20,2022-08-16 17:27:20
72124,78,16-08-2022,1660685240,F01,quinteri,z,11,5,12,5347,-71.52836166666665,-32.78367166666667,calibracion,,2022-08-16 21:27:20,2022-08-16 17:27:20
72125,79,16-08-2022,1660685246,F01,quinteri,z,9,3,11,5348,-71.52836166666665,-32.78367166666667,calibracion,,2022-08-16 21:27:30,2022-08-16 17:27:30
72126,80,16-08-2022,1660685251,F01,quinteri,z,10,3,11,5347,-71.52836166666665,-32.78367166666667,calibracion,,2022-08-16 21:27:30,2022-08-16 17:27:30
72127,81,16-08-2022,1660685256,F01,quinteri,z,10,2,12,5347,-71.52836166666665,-32.78367166666667,calibracion,,2022-08-16 21:27:40,2022-08-16 17:27:40
72128,82,16-08-2022,1660685262,F01,quinteri,z,9,2,11,5348,-71.52836166666665,-32.78367166666667,calibracion,,2022-08-16 21:27:40,2022-08-16 17:27:40
72129,83,16-08-2022,1660685267,F01,quinteri,z,9,2,11,5347,-71.52849666666665,-32.78399833333334,calibracion,,2022-08-16 21:27:50,2022-08-16 17:27:50
72130,84,16-08-2022,1660685272,F01,quinteri,z,7,2,10,5347,-71.52849666666665,-32.78399833333334,calibracion,,2022-08-16 21:27:50,2022-08-16 17:27:50
72131,85,16-08-2022,1660685278,F01,quinteri,z,6,3,7,5346,-71.52849666666665,-32.78399833333334,calibracion,,2022-08-16 21:28:00,2022-08-16 17:28:00
72132,86,16-08-2022,1660685283,F01,quinteri,z,5,3,6,5346,-71.52849666666665,-32.78399833333334,calibracion,,2022-08-16 21:28:00,2022-08-16 17:28:00
72133,87,16-08-2022,1660685288,F01,quinteri,z,5,3,6,5348,-71.52849666666665,-32.78399833333334,calibracion,,2022-08-16 21:28:10,2022-08-16 17:28:10
72134,88,16-08-2022,1660685294,F01,quinteri,z,5,3,6,5346,-71.52849666666665,-32.78399833333334,calibracion,,2022-08-16 21:28:10,2022-08-16 17:28:10
72135,89,16-08-2022,1660685299,F01,quinteri,z,4,2,5,5346,-71.52849666666665,-32.78399833333334,calibracion,,2022-08-16 21:28:20,2022-08-16 17:28:20
72136,90,16-08-2022,1660685304,F01,quinteri,z,6,3,7,5346,-71.52849666666665,-32.78399833333334,calibracion,,2022-08-16 21:28:20,2022-08-16 17:28:20
72137,91,16-08-2022,1660685310,F01,quinteri,z,6,2,7,5347,-71.52849666666665,-32.78399833333334,calibracion,,2022-08-16 21:28:30,2022-08-16 17:28:30
72138,92,16-08-2022,1660685315,F01,quinteri,z,7,3,7,5347,-71.52849666666665,-32.78399833333334,calibracion,,2022-08-16 21:28:40,2022-08-16 17:28:40
72139,93,16-08-2022,1660685320,F01,quinteri,z,7,3,7,5347,-71.52849666666665,-32.78399833333334,calibracion,,2022-08-16 21:28:40,2022-08-16 17:28:40
72140,94,16-08-2022,1660685326,F01,quinteri,z,9,4,10,5347,-71.52849666666665,-32.78399833333334,calibracion,,2022-08-16 21:28:50,2022-08-16 17:28:50
72141,95,16-08-2022,1660685331,F01,quinteri,z,9,3,10,5347,-71.52849666666665,-32.78399833333334,calibracion,,2022-08-16 21:28:50,2022-08-16 17:28:50
72142,96,16-08-2022,1660685337,F01,quinteri,z,8,4,9,5347,-71.52849666666665,-32.78399833333334,calibracion,,2022-08-16 21:29:00,2022-08-16 17:29:00
72143,97,16-08-2022,1660685342,F01,quinteri,z,9,4,11,5347,-71.52849666666665,-32.78399833333334,calibracion,,2022-08-16 21:29:00,2022-08-16 17:29:00
72144,98,16-08-2022,1660685347,F01,quinteri,z,9,3,11,5347,-71.52849666666665,-32.78399833333334,calibracion,,2022-08-16 21:29:10,2022-08-16 17:29:10
72145,99,16-08-2022,1660685352,F01,quinteri,z,12,5,13,5346,-71.52849666666665,-32.78399833333334,calibracion,,2022-08-16 21:29:10,2022-08-16 17:29:10
72146,100,16-08-2022,1660685358,F01,quinteri,z,14,7,14,5347,-71.52849666666665,-32.78399833333334,calibracion,,2022-08-16 21:29:20,2022-08-16 17:29:20
72147,101,16-08-2022,1660685363,F01,quinteri,z,13,5,13,5348,-71.52849666666665,-32.78399833333334,calibracion,,2022-08-16 21:29:20,2022-08-16 17:29:20
72148,102,16-08-2022,1660685369,F01,quinteri,z,14,6,15,5348,-71.52849666666665,-32.78399833333334,calibracion,,2022-08-16 21:29:30,2022-08-16 17:29:30
72149,103,16-08-2022,1660685374,F01,quinteri,z,10,4,12,5347,-71.52849666666665,-32.78399833333334,calibracion,,2022-08-16 21:29:30,2022-08-16 17:29:30
72150,104,16-08-2022,1660685379,F01,quinteri,z,10,4,12,5348,-71.52839666666667,-32.78349833333333,calibracion,,2022-08-16 21:29:40,2022-08-16 17:29:40
72151,105,16-08-2022,1660685385,F01,quinteri,z,9,3,10,5348,-71.52839666666667,-32.78349833333333,calibracion,,2022-08-16 21:29:40,2022-08-16 17:29:40
72152,106,16-08-2022,1660685390,F01,quinteri,z,8,3,9,5348,-71.52839666666667,-32.78349833333333,calibracion,,2022-08-16 21:29:50,2022-08-16 17:29:50
72153,107,16-08-2022,1660685395,F01,quinteri,z,5,2,6,5347,-71.52839666666667,-32.78349833333333,calibracion,,2022-08-16 21:30:00,2022-08-16 17:30:00
72154,108,16-08-2022,1660685401,F01,quinteri,z,5,2,6,5347,-71.52839666666667,-32.78349833333333,calibracion,,2022-08-16 21:30:00,2022-08-16 17:30:00
72155,109,16-08-2022,1660685406,F01,quinteri,z,5,2,5,5346,-71.52839666666667,-32.78349833333333,calibracion,,2022-08-16 21:30:10,2022-08-16 17:30:10
72156,110,16-08-2022,1660685411,F01,quinteri,z,5,3,5,5347,-71.52839666666667,-32.78349833333333,calibracion,,2022-08-16 21:30:10,2022-08-16 17:30:10
72157,111,16-08-2022,1660685417,F01,quinteri,z,4,2,4,5348,-71.52839666666667,-32.78349833333333,calibracion,,2022-08-16 21:30:20,2022-08-16 17:30:20
72158,112,16-08-2022,1660685422,F01,quinteri,z,5,2,5,5346,-71.52839666666667,-32.78349833333333,calibracion,,2022-08-16 21:30:20,2022-08-16 17:30:20
72159,113,16-08-2022,1660685427,F01,quinteri,z,5,3,6,5346,-71.52839666666667,-32.78349833333333,calibracion,,2022-08-16 21:30:30,2022-08-16 17:30:30
72160,114,16-08-2022,1660685433,F01,quinteri,z,4,2,5,5345,-71.52839666666667,-32.78349833333333,calibracion,,2022-08-16 21:30:30,2022-08-16 17:30:30
72161,115,16-08-2022,1660685438,F01,quinteri,z,5,3,6,5347,-71.52845833333333,-32.78363,calibracion,,2022-08-16 21:30:40,2022-08-16 17:30:40
72162,116,16-08-2022,1660685443,F01,quinteri,z,5,2,7,5347,-71.52845833333333,-32.78363,calibracion,,2022-08-16 21:30:40,2022-08-16 17:30:40
72163,117,16-08-2022,1660685449,F01,quinteri,z,6,2,8,5347,-71.52845833333333,-32.78363,calibracion,,2022-08-16 21:30:50,2022-08-16 17:30:50
72164,118,16-08-2022,1660685454,F01,quinteri,z,5,2,6,5347,-71.52845833333333,-32.78363,calibracion,,2022-08-16 21:30:50,2022-08-16 17:30:50
72165,119,16-08-2022,1660685459,F01,quinteri,z,5,2,6,5347,-71.52845833333333,-32.78363,calibracion,,2022-08-16 21:31:00,2022-08-16 17:31:00
72166,120,16-08-2022,1660685465,F01,quinteri,z,4,2,6,5347,-71.52845833333333,-32.78363,calibracion,,2022-08-16 21:31:00,2022-08-16 17:31:00
72167,121,16-08-2022,1660685470,F01,quinteri,z,6,3,7,5348,-71.52845833333333,-32.78363,calibracion,,2022-08-16 21:31:10,2022-08-16 17:31:10
72168,122,16-08-2022,1660685475,F01,quinteri,z,5,2,7,5348,-71.52845833333333,-32.78363,calibracion,,2022-08-16 21:31:20,2022-08-16 17:31:20
72169,123,16-08-2022,1660685481,F01,quinteri,z,5,1,6,5348,-71.52837666666666,-32.78357166666667,calibracion,,2022-08-16 21:31:20,2022-08-16 17:31:20
72170,124,16-08-2022,1660685486,F01,quinteri,z,6,1,7,5347,-71.52837666666666,-32.78357166666667,calibracion,,2022-08-16 21:31:30,2022-08-16 17:31:30
72171,125,16-08-2022,1660685492,F01,quinteri,z,6,3,8,5347,-71.52837666666666,-32.78357166666667,calibracion,,2022-08-16 21:31:30,2022-08-16 17:31:30
72172,126,16-08-2022,1660685497,F01,quinteri,z,5,2,7,5348,-71.52837666666666,-32.78357166666667,calibracion,,2022-08-16 21:31:40,2022-08-16 17:31:40
72173,127,16-08-2022,1660685502,F01,quinteri,z,5,2,6,5347,-71.52837666666666,-32.78357166666667,calibracion,,2022-08-16 21:31:40,2022-08-16 17:31:40
72174,128,16-08-2022,1660685508,F01,quinteri,z,5,2,6,5346,-71.52837666666666,-32.78357166666667,calibracion,,2022-08-16 21:31:50,2022-08-16 17:31:50
72175,129,16-08-2022,1660685513,F01,quinteri,z,4,2,5,5347,-71.52837666666666,-32.78357166666667,calibracion,,2022-08-16 21:31:50,2022-08-16 17:31:50
72176,130,16-08-2022,1660685518,F01,quinteri,z,3,2,4,5347,-71.52837666666666,-32.78357166666667,calibracion,,2022-08-16 21:32:00,2022-08-16 17:32:00
72177,131,16-08-2022,1660685524,F01,quinteri,z,4,2,4,5348,-71.52837666666666,-32.78357166666667,calibracion,,2022-08-16 21:32:00,2022-08-16 17:32:00
72178,132,16-08-2022,1660685529,F01,quinteri,z,5,3,5,5348,-71.52837666666666,-32.78357166666667,calibracion,,2022-08-16 21:32:10,2022-08-16 17:32:10
72179,133,16-08-2022,1660685534,F01,quinteri,z,6,4,8,5347,-71.52837666666666,-32.78357166666667,calibracion,,2022-08-16 21:32:10,2022-08-16 17:32:10
72180,134,16-08-2022,1660685540,F01,quinteri,z,6,4,9,5346,-71.52837666666666,-32.78357166666667,calibracion,,2022-08-16 21:32:20,2022-08-16 17:32:20
72181,135,16-08-2022,1660685545,F01,quinteri,z,7,5,10,5347,-71.52837666666666,-32.78357166666667,calibracion,,2022-08-16 21:32:20,2022-08-16 17:32:20
72182,136,16-08-2022,1660685550,F01,quinteri,z,6,4,9,5347,-71.52837666666666,-32.78357166666667,calibracion,,2022-08-16 21:32:30,2022-08-16 17:32:30
72183,137,16-08-2022,1660685556,F01,quinteri,z,7,4,9,5347,-71.52837666666666,-32.78357166666667,calibracion,,2022-08-16 21:32:40,2022-08-16 17:32:40
72184,138,16-08-2022,1660685561,F01,quinteri,z,5,3,8,5346,-71.52837666666666,-32.78357166666667,calibracion,,2022-08-16 21:32:40,2022-08-16 17:32:40
72185,139,16-08-2022,1660685566,F01,quinteri,z,6,3,6,5348,-71.52837666666666,-32.78357166666667,calibracion,,2022-08-16 21:32:50,2022-08-16 17:32:50
72186,140,16-08-2022,1660685572,F01,quinteri,z,27,14,28,5347,-71.52837666666666,-32.78357166666667,calibracion,,2022-08-16 21:32:50,2022-08-16 17:32:50
72187,141,16-08-2022,1660685577,F01,quinteri,z,38,21,46,5347,-71.52837666666666,-32.78357166666667,calibracion,,2022-08-16 21:33:00,2022-08-16 17:33:00
72188,142,16-08-2022,1660685582,F01,quinteri,z,21,9,25,5348,-71.52837666666666,-32.78357166666667,calibracion,,2022-08-16 21:33:00,2022-08-16 17:33:00
72189,143,16-08-2022,1660685588,F01,quinteri,z,9,3,10,5348,-71.52837666666666,-32.78357166666667,calibracion,,2022-08-16 21:33:10,2022-08-16 17:33:10
72190,144,16-08-2022,1660685593,F01,quinteri,z,6,1,7,5346,-71.52837666666666,-32.78357166666667,calibracion,,2022-08-16 21:33:10,2022-08-16 17:33:10
72191,145,16-08-2022,1660685598,F01,quinteri,z,6,2,6,5347,-71.52837666666666,-32.78357166666667,calibracion,,2022-08-16 21:33:20,2022-08-16 17:33:20
72192,146,16-08-2022,1660685604,F01,quinteri,z,6,3,7,5347,-71.52837666666666,-32.78357166666667,calibracion,,2022-08-16 21:33:20,2022-08-16 17:33:20
72193,147,16-08-2022,1660685609,F01,quinteri,z,5,3,6,5348,-71.52837666666666,-32.78357166666667,calibracion,,2022-08-16 21:33:30,2022-08-16 17:33:30
72194,148,16-08-2022,1660685615,F01,quinteri,z,6,2,7,5348,-71.52837666666666,-32.78357166666667,calibracion,,2022-08-16 21:33:40,2022-08-16 17:33:40
72195,149,16-08-2022,1660685620,F01,quinteri,z,8,4,9,5346,-71.52837666666666,-32.78357166666667,calibracion,,2022-08-16 21:33:40,2022-08-16 17:33:40
72196,150,16-08-2022,1660685625,F01,quinteri,z,9,5,10,5347,-71.52837666666666,-32.78357166666667,calibracion,,2022-08-16 21:33:40,2022-08-16 17:33:40
72197,151,16-08-2022,1660685631,F01,quinteri,z,9,5,9,5348,-71.52837666666666,-32.78357166666667,calibracion,,2022-08-16 21:33:50,2022-08-16 17:33:50
72198,152,16-08-2022,1660685636,F01,quinteri,z,9,6,10,5347,-71.52837666666666,-32.78357166666667,calibracion,,2022-08-16 21:34:00,2022-08-16 17:34:00
72199,153,16-08-2022,1660685641,F01,quinteri,z,9,5,10,5348,-71.52837666666666,-32.78357166666667,calibracion,,2022-08-16 21:34:00,2022-08-16 17:34:00
72200,154,16-08-2022,1660685647,F01,quinteri,z,8,6,9,5346,-71.52837666666666,-32.78357166666667,calibracion,,2022-08-16 21:34:10,2022-08-16 17:34:10
72201,155,16-08-2022,1660685652,F01,quinteri,z,6,4,7,5347,-71.52837666666666,-32.78357166666667,calibracion,,2022-08-16 21:34:10,2022-08-16 17:34:10
72202,156,16-08-2022,1660685657,F01,quinteri,z,8,5,9,5348,-71.52846833333334,-32.783655,calibracion,,2022-08-16 21:34:20,2022-08-16 17:34:20
72203,157,16-08-2022,1660685663,F01,quinteri,z,8,5,9,5348,-71.52846833333334,-32.783655,calibracion,,2022-08-16 21:34:20,2022-08-16 17:34:20
72204,158,16-08-2022,1660685668,F01,quinteri,z,8,4,8,5348,-71.52846833333334,-32.783655,calibracion,,2022-08-16 21:34:30,2022-08-16 17:34:30
72205,159,16-08-2022,1660685673,F01,quinteri,z,7,3,7,5348,-71.52846833333334,-32.783655,calibracion,,2022-08-16 21:34:30,2022-08-16 17:34:30
72206,160,16-08-2022,1660685679,F01,quinteri,z,7,3,7,5349,-71.52846833333334,-32.783655,calibracion,,2022-08-16 21:34:40,2022-08-16 17:34:40
72207,161,16-08-2022,1660685684,F01,quinteri,z,7,3,7,5348,-71.52846833333334,-32.783655,calibracion,,2022-08-16 21:34:40,2022-08-16 17:34:40
72208,162,16-08-2022,1660685689,F01,quinteri,z,4,2,6,5346,-71.52846833333334,-32.783655,calibracion,,2022-08-16 21:34:50,2022-08-16 17:34:50
72209,163,16-08-2022,1660685695,F01,quinteri,z,5,2,9,5348,-71.52846833333334,-32.783655,calibracion,,2022-08-16 21:35:00,2022-08-16 17:35:00
72210,164,16-08-2022,1660685700,F01,quinteri,z,4,2,7,5346,-71.52829,-32.78365833333333,calibracion,,2022-08-16 21:35:00,2022-08-16 17:35:00
72211,165,16-08-2022,1660685705,F01,quinteri,z,6,3,12,5347,-71.52829,-32.78365833333333,calibracion,,2022-08-16 21:35:00,2022-08-16 17:35:00
72212,166,16-08-2022,1660685711,F01,quinteri,z,6,3,12,5348,-71.52829,-32.78365833333333,calibracion,,2022-08-16 21:35:10,2022-08-16 17:35:10
72213,167,16-08-2022,1660685716,F01,quinteri,z,7,4,12,5348,-71.52829,-32.78365833333333,calibracion,,2022-08-16 21:35:20,2022-08-16 17:35:20
72214,168,16-08-2022,1660685721,F01,quinteri,z,8,4,11,5348,-71.52829,-32.78365833333333,calibracion,,2022-08-16 21:35:20,2022-08-16 17:35:20
72215,169,16-08-2022,1660685727,F01,quinteri,z,9,4,12,5347,-71.52829,-32.78365833333333,calibracion,,2022-08-16 21:35:30,2022-08-16 17:35:30
